Date,Close/Last,Volume,Open,High,Low
01/16/2024,$200.52,35289980,$210.07,$210.98,$199.50
01/12/2024,$217.70,11285520,$219.97,$222.07,$217.04
01/11/2024,$222.66,11830490,$228.07,$228.28,$222.62
01/10/2024,$227.84,12883740,$226.90,$231.6099,$226.64
01/09/2024,$225.76,20687540,$225.66,$228.7899,$223.20
01/08/2024,$229.00,40730430,$228.00,$233.85,$225.79
01/05/2024,$249.00,3849746,$245.04,$250.19,$245.04
01/04/2024,$244.94,5170739,$244.58,$248.28,$244.18
01/03/2024,$243.91,7219930,$248.32,$250.13,$243.00
01/02/2024,$251.76,5815219,$257.28,$258.59,$250.87
12/29/2023,$260.66,3686554,$260.67,$262.22,$259.5613
12/28/2023,$260.35,5096448,$261.53,$262.10,$257.68
12/27/2023,$262.10,3484867,$262.63,$264.66,$260.90
12/26/2023,$262.79,3938565,$259.80,$263.7599,$259.54
12/22/2023,$260.44,4433959,$261.83,$262.8424,$259.20
12/21/2023,$262.02,6487150,$265.95,$267.54,$260.19
12/20/2023,$260.25,5151674,$262.25,$266.1298,$260.15
12/19/2023,$263.51,6089492,$261.04,$265.34,$260.8001
12/18/2023,$260.41,6140097,$260.63,$263.13,$260.25
12/15/2023,$264.27,14995890,$255.70,$265.52,$255.70
12/14/2023,$256.24,7883554,$250.91,$257.12,$249.26
12/13/2023,$250.91,5513393,$249.10,$251.87,$247.5316
12/12/2023,$248.63,5719220,$247.95,$250.5686,$247.40
12/11/2023,$248.08,7545047,$243.50,$248.08,$243.31
12/08/2023,$244.70,7171150,$237.32,$244.70,$237.32
12/07/2023,$237.33,6363664,$236.90,$238.30,$230.00
12/06/2023,$236.89,4740614,$234.78,$239.23,$234.43
12/05/2023,$234.16,3589846,$233.54,$234.74,$231.49
12/04/2023,$234.87,5228476,$231.30,$234.94,$230.07
12/01/2023,$233.87,6956205,$231.77,$235.38,$231.38
11/30/2023,$231.63,8736247,$225.00,$233.00,$224.9957
11/29/2023,$224.43,5424443,$223.35,$224.99,$221.3408
11/28/2023,$222.37,7817755,$222.01,$224.80,$219.41
